1008
TE 1 1 1.84118378134066
TM 0 1 2.40482555769577
TE 2 1 3.05423692822714
TM 1 1 3.83170597020751
TE 0 1 3.83170597020751
TE 3 1 4.20118894121053
TM 2 1 5.13562230184068
TE 4 1 5.31755312608399
TE 1 2 5.33144277352503
TM 0 2 5.52007811028631
TM 3 1 6.38016189592398
TE 5 1 6.41561637570024
TE 2 2 6.70613319415846
TM 1 2 7.01558666981562
TE 0 2 7.01558666981562
TE 6 1 7.50126614468415
TM 4 1 7.5883424345038
TE 3 2 8.01523659837595
TM 2 2 8.41724414039986
TE 1 3 8.53631636634629
TE 7 1 8.57783648971407
TM 0 3 8.65372791291101
TM 5 1 8.77148381595995
TE 4 2 9.28239628524161
TE 8 1 9.64742165199722
TM 3 2 9.76102312998167
TM 6 1 9.93610952421768
TE 2 3 9.9694678230876
TM 1 3 10.1734681350627
TE 0 3 10.1734681350627
TE 5 2 10.5198608737723
TE 9 1 10.7114339706999
TM 4 2 11.0647094885012
TM 7 1 11.0863700192451
TE 3 3 11.345924310743
TM 2 3 11.6198411721491
TE 1 4 11.7060049025921
TE 6 2 11.7349359530427
TE 10 1 11.7708766749556
TM 0 4 11.7915344390143
TM 8 1 12.2250922640047
TM 5 2 12.3386041974669
TE 4 3 12.6819084426389
TE 11 1 12.8264912280335
TE 7 2 12.9323862370896
TM 3 3 13.0152007216984
TE 2 4 13.1703708560161
TM 1 4 13.3236919363142
TE 0 4 13.3236919363142
TM 9 1 13.3543004774353
TM 6 2 13.5892901705412
TE 12 1 13.8788430696973
TE 5 3 13.9871886301403
TE 8 2 14.1155189078946
TM 4 3 14.3725366716176
TM 10 1 14.4755006865545
TE 3 4 14.585848286167
TM 2 4 14.7959517823513
TM 7 2 14.8212687270132
TE 1 5 14.863588633909
TE 13 1 14.9283744929647
TM 0 5 14.9309177084878
TE 6 3 15.2681814610979
TE 9 2 15.286737667333
TM 11 1 15.5898478844555
TM 5 3 15.7001740797117
TE 4 4 15.9641070377316
TE 14 1 15.9754388074843
TM 8 2 16.0377741908877
TM 3 4 16.2234661603188
TE 2 5 16.3475223183218
TE 10 2 16.4478527484865
TM 1 5 16.4706300508776
TE 0 5 16.4706300508776
TE 7 3 16.5293658843669
TM 12 1 16.6982499338482
TM 6 3 17.003819667816
TE 15 1 17.0203232728278
TM 9 2 17.2412203824891
TE 5 4 17.3128424878846
TE 11 2 17.6002665574683
TM 4 4 17.6159660498048
TE 8 3 17.7740123669153
TE 3 5 17.7887478660665
TM 13 1 17.8014351532824
TM 2 5 17.9598194949878
TE 1 6 18.0155278626818
TE 16 1 18.0632649937237
TM 0 6 18.0710639679109
TM 7 3 18.2875828324817
TM 10 2 18.4334636669666
TE 6 4 18.6374430096662
TE 12 2 18.7450909168144
TM 14 1 18.899997953174
TM 5 4 18.9801338751799
TE 9 3 19.0045935379461
TE 17 1 19.1044622406674
TE 4 5 19.1960288000489
TM 3 5 19.409415226435
TE 2 6 19.5129127824882
TM 8 3 19.5545364309971
TM 1 6 19.6158585104682
TE 0 6 19.6158585104682
TM 11 2 19.6159669039669
TE 13 2 19.8832243610995
TE 7 4 19.9418533665273
TM 15 1 19.9944306298164
TE 18 1 20.144082703205
TE 10 3 20.2230314126817
TM 6 4 20.3207892135665
TE 5 5 20.5755145213869
TM 12 2 20.7899063600784
TM 9 3 20.8070477892641
TM 4 5 20.8269329569624
TE 3 6 20.9724769365377
TE 14 2 21.0154049345683
TM 16 1 21.0851461130647
TM 2 6 21.1169970530218
TE 1 7 21.1643698591888
TE 19 1 21.1822696305921
TM 0 7 21.2116366298793
TE 8 4 21.2290626228531
TE 11 3 21.4308542380603
TM 7 4 21.6415410198484
TE 6 5 21.9317150178022
TM 13 2 21.9562440678363
TM 10 3 22.0469853646978
TE 15 2 22.1422473451231
TM 17 1 22.1724946188263
TM 5 5 22.2177998965613
TE 20 1 22.2191464829013
TE 4 6 22.401032267689
TE 9 4 22.5013987267773
TM 3 6 22.5827295931044
